,Name,EMI,Price,Kilometers Driven,Owner,Year of Purchase,Fuel Type,Location,History
135,2019 Maruti Baleno,"₹14,290/month","₹6,42,399","3,947 km",-,-,-,-,-
136,2012 Maruti Swift,"₹6,782/month","₹3,04,899","30,589 km",1st Owner,November 2012,Diesel,DELHI,Non-Accidental
137,2019 Renault Kwid,"₹7,839/month","₹3,52,399","16,221 km",1st Owner,-,Petrol,DELHI,Non-Accidental
138,2015 Maruti Swift,"₹9,438/month","₹4,24,299","36,220 km",1st Owner,-,Petrol,DELHI,Non-Accidental
139,2015 Hyundai Eon,"₹5,606/month","₹2,52,000",-,-,-,-,-,-
140,2019 Tata Tiago,"₹8,471/month","₹3,80,799","22,651 km",1st Owner,January 2019,Petrol,DELHI,Non-Accidental
141,2015 Maruti Swift,"₹9,076/month","₹4,08,000","24,140 km",1st Owner,-,Petrol,DELHI,Non-Accidental
142,2012 Maruti Swift Dzire,"₹8,075/month","₹3,62,999","52,072 km",1st Owner,October 2012,Diesel,DELHI,Non-Accidental
143,2017 Honda WR-V,"₹14,621/month","₹6,57,299","25,687 km",2nd Owner,October 2017,Petrol,DELHI,Non-Accidental
144,2014 Maruti Alto K10,"₹5,612/month","₹2,52,299","42,373 km",2nd Owner,March 2014,Petrol,DELHI,Non-Accidental
145,2013 Hyundai i20,"₹7,674/month","₹3,45,000",-,-,-,-,-,-
146,2015 Maruti Celerio,"₹7,496/month","₹3,37,000",-,-,-,-,-,-
147,2020 Mahindra XUV 3OO,"₹19,753/month","₹8,88,000",-,-,-,-,-,-
148,2017 Maruti Alto K10,"₹8,793/month","₹3,95,299","31,679 km",1st Owner,August 2017,Petrol,DELHI,Non-Accidental
149,2014 Maruti Alto K10,"₹5,434/month","₹2,44,299","51,228 km",1st Owner,October 2014,Petrol,DELHI,Non-Accidental
150,2020 Toyota YARIS,"₹20,572/month","₹9,24,799","13,631 km",1st Owner,-,Petrol,DELHI,Non-Accidental
151,2010 Honda City,"₹8,026/month","₹3,60,799","47,405 km",1st Owner,May 2010,Petrol,DELHI,Non-Accidental
152,2018 Hyundai Grand i10,"₹10,526/month","₹4,73,199","22,514 km",1st Owner,January 2018,Petrol,DELHI,Non-Accidental
153,2018 Hyundai Elite i20,"₹14,459/month","₹6,50,000",-,-,-,-,-,-
154,2016 Maruti Vitara Brezza,"₹15,249/month","₹6,85,499","29,749 km",2nd Owner,February 2016,Diesel,DELHI,Non-Accidental
155,2014 Datsun Go,"₹4,226/month","₹1,90,000","40,167 km",1st Owner,-,Petrol,DELHI,Non-Accidental
156,2016 Renault Kwid,"₹5,695/month","₹2,56,000",-,-,-,-,-,-
157,2011 Hyundai i10,"₹4,961/month","₹2,23,000",-,-,-,-,-,-
158,2018 Renault Kwid,"₹6,562/month","₹2,95,000",-,-,-,-,-,-
159,2012 Ford Fiesta,"₹6,357/month","₹2,85,799","68,356 km",2nd Owner,November 2012,Diesel,DELHI,Non-Accidental
160,2016 Ford Ecosport,"₹10,081/month","₹4,53,199","54,909 km",1st Owner,February 2016,Petrol,DELHI,Non-Accidental
161,2012 Maruti Swift Dzire,"₹6,711/month","₹3,01,699","61,164 km",1st Owner,November 2012,Diesel,DELHI,Non-Accidental
162,2017 Mahindra Kuv100,"₹8,453/month","₹3,80,000",-,-,-,-,-,-
163,2016 Maruti Wagon R 1.0,"₹7,964/month","₹3,58,000",-,-,-,-,-,-
164,2018 Maruti Baleno,"₹13,104/month","₹5,89,099","16,840 km",1st Owner,-,Petrol,DELHI,Non-Accidental
165,2018 Maruti Baleno,"₹13,963/month","₹6,27,699","9,483 km",2nd Owner,-,Petrol,DELHI,Non-Accidental
166,2018 Maruti Baleno,"₹12,386/month","₹5,56,799","19,940 km",1st Owner,November 2018,Petrol,DELHI,Non-Accidental
167,2019 Maruti IGNIS,"₹11,411/month","₹5,13,000","7,894 km",-,-,-,-,-
168,2011 Hyundai Santro Xing,"₹3,470/month","₹1,56,000",-,-,-,-,-,-
169,2016 Hyundai Grand i10,"₹8,562/month","₹3,84,899","41,048 km",1st Owner,March 2016,Petrol,DELHI,Non-Accidental
170,2016 Ford Figo Aspire,"₹10,359/month","₹4,65,699","31,995 km",1st Owner,June 2016,Petrol,DELHI,Non-Accidental
171,2019 Maruti IGNIS,"₹11,414/month","₹5,13,099","19,458 km",1st Owner,September 2019,Petrol,DELHI,Non-Accidental
172,2014 Hyundai Eon,"₹5,005/month","₹2,24,999","40,438 km",2nd Owner,September 2014,Petrol,DELHI,Non-Accidental
173,2015 Maruti S Cross,"₹11,320/month","₹5,08,899","37,640 km",2nd Owner,-,Diesel,DELHI,Non-Accidental
174,2009 Maruti Alto,"₹3,532/month","₹1,58,799","54,427 km",1st Owner,April 2009,Petrol,DELHI,Non-Accidental
175,2015 Hyundai Eon,"₹4,858/month","₹2,18,399","45,715 km",2nd Owner,January 2015,Petrol,DELHI,Non-Accidental
176,2015 Maruti Swift Dzire,"₹9,165/month","₹4,12,000",-,-,-,-,-,-
177,2010 Maruti Swift,"₹4,923/month","₹2,21,299","64,767 km",1st Owner,-,Petrol,DELHI,Non-Accidental
178,2015 Maruti Swift,"₹9,529/month","₹4,28,399","44,379 km",1st Owner,November 2015,Diesel,DELHI,Non-Accidental
179,2009 Maruti Alto,"₹3,346/month","₹1,50,399","31,579 km",1st Owner,April 2009,Petrol,DELHI,Non-Accidental
180,2013 Honda Brio,"₹6,451/month","₹2,90,000","54,148 km",1st Owner,-,Petrol,DELHI,Non-Accidental
181,2017 Maruti Baleno,"₹11,787/month","₹5,29,899","26,788 km",2nd Owner,-,Petrol,DELHI,Non-Accidental
182,2016 Maruti Wagon R 1.0,"₹7,229/month","₹3,25,000",-,-,-,-,-,-
183,2015 Hyundai Elite i20,"₹11,033/month","₹4,96,000",-,-,-,-,-,-
184,2016 Maruti Eeco,"₹6,235/month","₹2,80,299","39,695 km",2nd Owner,April 2016,Petrol,DELHI,Non-Accidental
185,2019 Maruti Baleno,"₹13,554/month","₹6,09,299","9,870 km",1st Owner,January 2019,Petrol,DELHI,Non-Accidental
186,2013 Hyundai Eon,"₹5,150/month","₹2,31,499","57,841 km",1st Owner,July 2013,Petrol,DELHI,Non-Accidental
187,2015 Tata Nano,"₹2,224/month","₹1,00,000",-,-,-,-,-,-
188,2015 Maruti Swift,"₹9,149/month","₹4,11,299","46,856 km",1st Owner,January 2015,Diesel,DELHI,Non-Accidental
189,2012 Honda City,"₹9,120/month","₹4,10,000","58,659 km",1st Owner,-,Petrol,DELHI,Non-Accidental
190,2017 Maruti Alto 800,"₹6,466/month","₹2,90,699","40,409 km",1st Owner,-,Petrol,DELHI,Non-Accidental
191,2014 Maruti Swift Dzire,"₹10,715/month","₹4,81,699","42,296 km",1st Owner,January 2014,Diesel,DELHI,Non-Accidental
192,2009 Maruti Zen Estilo,"₹4,362/month","₹1,96,099","37,434 km",1st Owner,November 2009,Petrol,DELHI,Non-Accidental
193,2019 Maruti Celerio,"₹8,798/month","₹3,95,499","11,873 km",1st Owner,January 2019,Petrol,DELHI,Non-Accidental
194,2020 Hyundai VENUE,"₹21,332/month","₹9,59,000",-,-,-,-,-,-
195,2014 Hyundai Grand i10,"₹8,867/month","₹3,98,599","52,299 km",2nd Owner,-,Petrol,DELHI,Non-Accidental
